,town,number_of_schools,lon,lat
1230,"NJ,Camden",1,-75.12224,39.948064
1231,"NJ,Trenton",3,-74.75076366666666,40.217867333333324
1232,"NJ,Carneys Point",1,-75.47013000000001,39.698756
1233,"NJ,South Orange",1,-74.246027,40.742336
1234,"NJ,Egg Harbor Township",1,-74.61349799999999,39.433238
1235,"NJ,Branchburg",1,-74.68812700000001,40.609681
1236,"NJ,Hoboken",1,-74.025334,40.744776
1237,"NJ,Galloway",1,-74.531087,39.492036
1238,"NJ,Adelphia",1,-74.250167,40.217456
1239,"NJ,Teterboro",2,-74.064905,40.851701
1240,"NJ,Ewing",2,-74.790832,40.266910499999994
1241,"NJ,Cranford",1,-74.319138,40.668595
1242,"NM,Alamogordo",2,-105.93781949999999,32.9102645
1243,"NM,Crownpoint",1,-108.14939199999999,35.687431
1244,"NM,Las Cruces",5,-106.7450648,32.3083888
1245,"NM,Clovis",1,-103.165886,34.402483000000004
1246,"NM,Portales",1,-103.34819,34.175592
1247,"NM,Roswell",2,-104.525083,33.361391999999995
1248,"NM,Santa Fe",6,-105.98415349999999,35.63609633333333
1249,"NM,Las Vegas",2,-105.23503099999999,35.606268
1250,"NM,Hobbs",2,-103.184922,32.76665200000001
1251,"NM,Gallup",1,-108.72725200000001,35.502662
1252,"NM,Socorro",1,-106.90521100000001,34.067040999999996
1253,"NM,Los Alamos",1,-106.319557,35.886153
1254,"NM,Carlsbad",1,-104.265536,32.442028
1255,"NM,Grants",1,-107.84363799999998,35.165965
1256,"NM,Los Lunas",1,-106.705371,34.728683000000004
1257,"NM,Espanola",1,-106.084395,36.004073
1258,"NM,Farmington",1,-108.169468,36.770446
1259,"NM,Ranchos de Taos",1,-105.65170900000001,36.348861
1260,"NM,Tucumcari",1,-103.736303,35.170332
1261,"NM,Silver City",1,-108.28328400000001,32.7767
1262,"NY,Flushing",7,-73.8365942857143,40.75791328571428
1263,"NY,Garden City",2,-73.6243035,40.7251555
1264,"NY,Queensbury",1,-73.654813,43.351839
1265,"NY,Albany",16,-73.7979843125,42.679506875
1266,"NY,Alfred",2,-77.791369,42.254869
1267,"NY,Brooklyn",53,-73.97193679245284,40.6432730754717
1268,"NY,New York",86,-73.98455581395349,40.754601186046514
1269,"NY,Long Island City",5,-73.9365124,40.7464078
1270,"NY,Elmira",3,-76.82709733333333,42.11600466666667
1271,"NY,Annandale-On-Hudson",1,-73.909927,42.020386
1272,"NY,Coxsackie",1,-73.836821,42.343651
1273,"NY,Napanoch",1,-74.363102,41.741299
1274,"NY,Beacon",1,-73.950868,41.522043
1275,"NY,Stormville",1,-73.716978,41.580923999999996
1276,"NY,Bedford Hill",1,-73.678685,41.244244
1277,"NY,Woodbourne",1,-74.592771,41.754051000000004
1278,"NY,White Plains",3,-73.766339,41.03240400000001
1279,"NY,Forest Hills",2,-73.83818450000001,40.712315000000004
1280,"NY,Levittown",3,-73.50544166666667,40.726244333333334
1281,"NY,Bronx",10,-73.8908239,40.860256
1282,"NY,Binghamton",3,-75.92003666666666,42.11769133333333
1283,"NY,Getzville",2,-78.742816,43.0408405
1284,"NY,Liverpool",3,-76.209341,43.135292666666665
1285,"NY,Buffalo",11,-78.85024800000001,42.91318290909092
1286,"NY,Orchard Park",3,-78.76939066666667,42.79018566666667
1287,"NY,Rochester",20,-77.63189024999998,43.14077669999999
1288,"NY,Nanuet",1,-74.022421,41.099090000000004
1289,"NY,Rego Park",2,-73.8584025,40.7291895
1290,"NY,Auburn",2,-76.56542400000001,42.942813
1291,"NY,Cazenovia",1,-75.85488199999999,42.932489000000004
1292,"NY,Niagara Falls",1,-78.983526,43.106577
1293,"NY,East Aurora",1,-78.660311,42.77089
1294,"NY,Potsdam",2,-74.986587,44.662431999999995
1295,"NY,Schenectady",6,-73.92899933333332,42.80696866666667
1296,"NY,Plattsburgh",4,-73.4734445,44.68362425
1297,"NY,Yonkers",2,-73.8550315,40.9692545
1298,"NY,Hamilton",1,-75.536346,42.819475
1299,"NY,Hudson",1,-73.818113,42.217613
1300,"NY,Astoria",2,-73.92205200000001,40.757152500000004
1301,"NY,Bronxville",2,-73.8328735,40.939441
1302,"NY,Ithaca",3,-76.49113366666667,42.43623466666667
1303,"NY,Corning",1,-77.072138,42.116735999999996
1304,"NY,Hyde Park",1,-73.933231,41.745806
1305,"CA,St. Helena",1,-122.484769,38.514503000000005
1306,"TX,San Antonio",49,-98.53656785714286,29.468398408163264
1307,"NY,Staten Island",6,-74.1176175,40.6097545
1308,"NY,Queens",2,-73.806101,40.7288525
1309,"NY,Bayside",1,-73.756656,40.755481
1310,"NY,Jamaica",3,-73.79106666666667,40.703781
1311,"NY,Amherst",1,-78.788111,42.965605
1312,"NY,Far Rockaway",3,-73.75331899999999,40.60114666666667
1313,"NY,Orangeburg",1,-73.95055500000001,41.047419
1314,"NY,Poughkeepsie",4,-73.90052475,41.71890375
1315,"NY,Vestal",2,-75.97091950000001,42.0924165
1316,"NY,Canandaigua",1,-77.241801,42.867556
1317,"NY,Dix Hills",1,-73.369348,40.794506
1318,"NY,Johnstown",1,-74.297492,42.983805
1319,"NY,Batavia",2,-78.1602475,43.0156245
1320,"NY,Clinton",1,-75.40819499999999,43.050245000000004
1321,"NY,Oneonta",3,-75.01928366666665,42.505203333333334
1322,"NY,Herkimer",1,-75.00720600000001,43.032738
1323,"NY,Hamburg",1,-78.820257,42.75464
1324,"NY,Geneva",3,-76.98742066666667,42.870740000000005
1325,"NY,Hempstead",4,-73.61527425,40.708248
1326,"NY,Houghton",1,-78.155426,42.426137
1327,"NY,Troy",4,-73.6825605,42.724392
1328,"NY,New Rochelle",2,-73.78457499999999,40.912576
1329,"NY,Amityville",2,-73.42237,40.689903
1330,"NY,Jamestown",2,-79.234284,42.105026
1331,"NY,Salamanca",1,-78.742325,42.157154
1332,"NY,Watertown",2,-75.9525955,43.981671
1333,"NY,Ossining",1,-73.814887,41.220521000000005
1334,"NY,Keuka Park",1,-77.090562,42.615253
1335,"NY,Brookville",1,-73.593678,40.820714
1336,"NY,Riverdale",2,-73.90649450000001,40.893212
1337,"NY,Purchase",2,-73.7088,41.039705
1338,"NY,Dobbs Ferry",1,-73.874447,41.021626
1339,"NY,Harrison",1,-73.74167,40.973637
1340,"NY,Ridgewood",1,-73.909144,40.699588
1341,"NY,Utica",5,-75.2515676,43.095242999999996
1342,"NY,Rockville Centre",1,-73.626183,40.685941
1343,"NY,Newburgh",1,-74.01265500000001,41.513872
1344,"NY,Mount Vernon",2,-73.8391665,40.912304500000005
1345,"NY,New York City",1,-73.96533199999999,40.756613
1346,"NY,Seneca Falls",1,-76.756232,42.91173
1347,"NY,Valhalla",2,-73.7998555,41.076744500000004
1348,"ID,Post Falls",1,-116.891898,47.712401
1349,"NY,Sanborn",2,-78.8711635,43.146880499999995
1350,"NY,Niagara University",1,-79.036689,43.137279
1351,"NY,Peekskill",2,-73.90429950000001,41.28010450000001
1352,"NY,Saranac Lake",1,-74.11998100000001,44.318645000000004
1353,"NY,Old Westbury",2,-73.5898535,40.805734
